org_id,pwsid,supplier_name,year,avg_shortage_level,data_type
1217,CA1910049,city of huntington park,2022,2.0,Actual
1225,CA1310006,city of imperial,2022,1.0,Actual
1234,CA1510017,indian wells valley water district,2022,2.0,Actual
1236,CA3310020,city of indio,2022,1.7,Actual
1238,CA1910051,city of inglewood,2022,3.0,Actual
1245,CA3010092,irvine ranch water district,2022,2.0,Actual
1270,CA3610025,joshua basin water district,2022,1.6,Actual
1273,CA3310021,jurupa community service district,2022,2.0,Actual
1286,CA1010018,city of kerman,2022,1.6,Actual
1304,CA1010019,city of kingsburg,2022,1.1,Actual
1324,CA3010018,city of la habra,2022,2.0,Actual
1327,CA3010100,city of la palma,2022,1.4,Actual
1333,CA1910062,city of la verne,2022,1.9,Actual
1335,CA3010017,laguna beach county water district,2022,2.0,Actual
1343,CA3610005,lake arrowhead community services district,2022,3.0,Actual
1352,CA3310022,lake hemet municipal water district,2022,0.0,Actual
1368,CA3710013,lakeside water district,2022,1.0,Actual
1370,CA1910239,city of lakewood,2022,1.7,Actual
1371,CA1510012,lamont public utility district,2022,0.0,Actual
1384,CA1910225,las virgenes municipal water district,2022,4.4,Actual
1388,CA3910015,city of lathrop,2022,2.0,Actual
1408,CA3310074,temescal valley water district,2022,1.7,Actual
1415,CA1610005,city of lemoore,2022,3.0,Actual
1424,CA3110004,city of lincoln,2022,1.6,Actual
1425,CA1910063,lincoln avenue water company,2022,2.6,Actual
1427,CA5810002,linda county water district,2022,1.8,Actual
1443,CA0110011,city of livermore,2022,2.0,Actual
1444,CA2410004,city of livingston,2022,2.0,Actual
1450,CA3910004,city of lodi,2022,2.0,Actual
1452,CA3610013,city of loma linda,2022,0.0,Actual
1456,CA1910073,city of lomita,2022,0.2857142857142857,Actual
1459,CA4210006,city of lompoc,2022,2.0,Actual
1464,CA1910065,city of long beach,2022,3.6,Actual
1473,CA1910067,los angeles city department of water and power,2022,2.7,Actual
1481,CA1910204,los angeles county waterworks district 29 - malibu & marina del rey,2022,1.6,Actual
1484,"CA1910005,CA1910025,CA1910027,CA1910070,CA1910203",los angeles county waterworks district 40 - antelope valley,2022,1.6,Actual
1487,CA2410005,city of los banos,2022,1.2,Actual
1506,CA1910079,city of lynwood,2022,2.0,Actual
1510,CA2010002,city of madera,2022,1.0,Actual
1533,CA2610001,mammoth community water district,2022,2.6,Actual
1536,CA1910083,city of manhattan beach,2022,1.6,Actual
1539,CA3910005,city of manteca,2022,1.5,Actual
1546,CA2110002,marin municipal water district,2022,1.6,Actual
1547,CA2710017,marina coast water district,2022,2.0,Actual
1554,CA0710006,city of martinez,2022,1.6,Actual
1570,CA1210016,mckinleyville community services district,2022,1.6,Actual
1587,CA4110017,city of menlo park,2022,1.8,Actual
1589,CA2410009,city of merced,2022,2.0,Actual
1596,CA3010004,mesa water district,2022,1.4,Actual
1605,CA4110001,mid-peninsula water district,2022,1.7,Actual
1613,CA4110018,city of millbrae,2022,1.6,Actual
1619,CA4310005,city of milpitas,2022,2.0,Actual
1626,"CA3310008,CA3310078,CA3310081",mission springs water district,2022,1.7,Actual
1631,"CA5010005,CA5010010,CA5010023,CA5010029,CA5010031,CA5010033,CA5010034,CA5010035",city of modesto,2022,2.0,Actual
1639,CA1910090,city of monrovia,2022,1.0,Actual
1642,CA3610029,monte vista water district,2022,2.0,Actual
1644,CA1910091,montebello land and water company,2022,1.4,Actual
1645,CA4210007,montecito water district,2022,1.8,Actual
1650,CA1910092,city of monterey park,2022,2.0,Actual
1656,CA4310006,city of morgan hill,2022,3.6,Actual
1660,CA4010011,city of morro bay,2022,2.3333333333333335,Actual
1663,CA3010073,moulton niguel water district,2022,1.6,Actual
1671,CA4310007,city of mountain view,2022,1.7,Actual
1697,CA3310051,myoma dunes mutual water company,2022,0.7,Actual
1701,CA2810003,city of napa,2022,2.9,Actual
1718,"CA2910004,CA2910006,CA2910014,CA2910023,CA3110026,CA5810005",nevada irrigation district,2022,1.7,Actual
1729,CA5010013,city of newman,2022,0.0,Actual
1730,CA3010023,city of newport beach,2022,1.4,Actual
1731,CA4010026,nipomo community service district,2022,4.2,Actual
1732,CA3310025,city of norco,2022,1.5,Actual
1739,CA4110025,north coast county water district,2022,2.0,Actual
1748,CA2110003,north marin water district,2022,2.0,Actual
1752,"CA3110001,CA3110023,CA3110036",north tahoe public utilities district,2022,2.0,Actual
1756,CA1910191,city of norwalk,2022,2.0,Actual
1765,CA5010014,city of oakdale,2022,0.42857142857142855,Actual
1777,CA3710014,city of oceanside,2022,1.0,Actual
1782,CA1510015,oildale mutual water company,2022,1.6,Actual
